time,left_force_x,left_force_y,left_force_z,left_torque_x,left_torque_y,left_torque_z,right_force_x,right_force_y,right_force_z,right_torque_x,right_torque_y,right_torque_z
13.04999924,-33.53901291,10.63183784,306.15756226,-28.73299789,-4.56617355,-1.85604811,32.77367783,-13.33553314,449.39562988,-34.65129089,57.46332169,8.07929707
13.05999947,-34.03392792,11.13831139,305.61456299,-28.82678986,-4.46727371,-1.91903043,32.56839752,-13.06312561,450.39941406,-34.65071106,57.46238708,7.68096113
13.06999969,-33.91072083,10.7968502,305.60415649,-28.82678986,-4.46727371,-1.72481227,32.55461502,-11.80338287,450.99829102,-34.74463654,57.55997467,8.07939148
13.07999992,-33.79522324,9.89504623,306.23318481,-28.73299789,-4.56617355,-2.06085443,32.42103195,-11.26667595,452.00292969,-34.74246979,57.75669098,8.0125246
13.09000015,-33.16339111,10.48176575,306.74780273,-28.82624054,-4.66436768,-1.91652,31.9331131,-12.67957687,451.94116211,-34.74246979,57.75669098,7.81173611
13.09999943,-34.00284958,10.52871704,306.99432373,-28.9211731,-4.56581116,-1.87720835,33.10334396,-12.04157734,452.56158447,-34.83639526,57.85427856,7.81105661
13.10999966,-32.88821411,8.75169373,306.18395996,-28.73299789,-4.56617355,-1.78977978,33.34277344,-11.10543346,453.19848633,-34.74030304,57.95340729,7.95863485
13.11999989,-32.87935638,9.41875935,306.62081909,-28.63665581,-4.46690559,-1.55791807,32.33687973,-12.1927557,453.09539795,-34.74030304,57.95340729,7.39329052
13.13000011,-34.27753067,9.6677866,306.03381348,-28.54341316,-4.36871147,-1.6592592,32.72533417,-11.82710934,452.97253418,-34.74030304,57.95340729,7.57768202
13.13999939,-34.033638,9.99418068,305.55383301,-28.45017052,-4.27051544,-1.69201303,33.11624146,-11.00450802,453.03430176,-34.74030304,57.95340729,7.78953266
13.14999962,-34.29463577,10.35261822,304.59140015,-28.45158005,-4.46833801,-1.79117632,32.17741394,-11.37871361,451.51861572,-34.64468384,58.05540466,7.71955109
13.15999985,-33.25793076,10.31845856,304.52728271,-28.26199532,-4.27087784,-1.71824574,32.19675064,-11.58039856,452.53479004,-34.64637756,57.8558197,7.97771168
13.17000008,-35.04138184,9.91470337,304.49462891,-28.26199532,-4.27087784,-1.46542764,32.21955109,-11.92520714,452.51760864,-34.64637756,57.8558197,7.55344391
13.17999935,-33.76220322,10.46978378,304.00836182,-28.3583374,-4.37014389,-1.62071788,32.71006012,-12.07277298,452.49136353,-34.64637756,57.8558197,7.77532768
13.18999958,-34.26885605,10.26533604,304.05236816,-28.35578728,-4.171978,-1.75992489,32.21140671,-12.06175232,452.53692627,-34.64637756,57.8558197,7.9112792
13.19999981,-33.38728714,9.6963253,303.61260986,-28.26085663,-4.27053452,-1.78685892,32.79631042,-12.11541462,453.6696167,-34.64421082,58.05253601,7.95057535
13.21000004,-33.28969193,9.79482079,304.13858032,-28.16706467,-4.36943436,-1.92341065,31.59230232,-12.14195347,453.5770874,-34.83423615,58.05099869,7.7876358
13.21999931,-34.14028168,10.83985043,303.93612671,-28.35578728,-4.171978,-1.68505836,32.60422134,-11.38597584,454.03735352,-34.73814392,58.15012741,7.61597061
13.22999954,-34.02721024,10.32579517,303.60375977,-28.26509476,-4.27194977,-1.85873127,31.69088745,-12.90462017,453.60620117,-34.83423615,58.05099869,7.81318855
13.23999977,-33.48491287,10.34154415,302.38479614,-28.26395416,-4.27160645,-1.5193572,32.8565712,-12.2912817,453.64559937,-34.83423615,58.05099869,7.75826263
13.25,-35.02983856,10.34146404,302.93121338,-27.98057938,-4.1730442,-1.65830374,32.76050568,-11.55212784,453.65026855,-34.83423615,58.05099869,7.6563921
